years_worked,gender,age,highest_qualification,measure_satisfaction,compensation_impact,stay_factors,implemented_programs,proud_to_work,satisfied_training_current_job,satisfied_training_advancement,company_concerned_long_term,secure_job,voice_opinion,superior_technically_incompetent,superior_competent_human_relations,policies_administered_equally,like_job,superior_employees_problems_fair,timely_communication,company_salary_levels,company_benefits_levels,policies_administered_department,opportunity_for_advancement
3,2,2,3,1,1,1,3,4,3,2,2,4,2,1,5,2,3,4,2,1,1,2,3
2,2,2,3,1,2,1,2,4,4,4,3,4,3,1,5,3,4,5,4,2,2,2,2
3,2,2,2,1,1,3,1,5,5,5,5,5,5,1,5,3,5,5,5,4,5,5,5
2,1,2,3,2,1,3,3,4,4,2,4,4,3,3,5,2,4,5,4,3,4,4,4
3,2,3,2,1,1,1,1,5,5,5,5,5,3,1,5,5,5,5,5,5,5,5,5
3,2,3,2,1,2,3,1,5,5,5,4,5,4,2,4,4,5,4,4,3,4,4,4
4,1,2,2,2,1,3,2,3,1,1,3,5,3,1,4,3,1,1,3,1,1,3,3
2,2,4,2,3,1,3,2,4,4,3,3,4,2,2,4,3,4,3,4,3,3,4,4
2,1,3,3,2,1,2,3,4,5,2,2,4,3,3,2,2,4,3,4,2,4,3,2
5,1,2,2,1,1,3,1,5,4,4,3,5,4,1,4,4,5,4,4,4,4,4,4
4,1,3,3,1,1,3,3,4,4,3,4,4,4,2,2,4,2,3,4,2,4,4,4
1,1,2,3,3,1,3,3,4,4,4,3,4,4,1,4,4,4,4,4,3,3,4,5
4,1,2,2,2,1,1,3,3,4,3,2,4,2,2,2,2,3,2,4,2,3,3,3
1,2,4,2,1,1,1,1,5,5,5,5,5,4,2,4,4,5,4,5,4,4,4,5
2,2,3,2,2,1,1,3,3,4,2,2,4,3,2,4,4,5,4,4,1,3,3,2
3,2,3,3,3,2,3,1,3,3,2,4,3,2,2,4,3,4,4,4,3,3,3,4
3,1,3,3,1,1,3,2,4,4,4,3,4,4,2,3,4,4,3,4,4,4,4,5
3,2,3,3,1,1,3,1,4,3,4,3,4,2,2,3,4,4,1,4,4,4,4,4
5,1,2,2,1,2,3,1,4,4,3,4,4,3,4,4,4,4,4,3,5,4,5,5
4,1,3,3,1,2,3,1,4,4,4,4,4,4,2,4,3,4,4,4,2,2,3,2
1,2,4,2,1,1,1,3,5,5,5,3,5,3,1,1,3,5,5,5,3,3,5,5
3,1,2,3,2,1,3,3,4,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3
2,2,3,2,1,2,3,1,4,5,4,5,5,4,1,4,5,4,4,5,4,4,5,5
2,2,2,3,2,1,1,3,4,4,4,4,4,4,4,1,4,4,2,5,2,3,3,3
1,2,2,3,1,1,3,2,2,3,1,1,1,1,4,5,1,4,1,2,4,3,1,1
1,1,2,2,1,1,1,1,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2
4,2,3,2,1,1,1,1,4,3,3,4,4,3,2,5,2,4,4,2,3,3,4,4
3,2,3,2,3,1,3,2,4,1,4,4,5,2,1,2,2,5,4,4,4,4,3,5
1,1,2,3,1,1,3,3,3,4,4,4,4,2,2,4,3,4,4,4,2,2,4,3
3,1,3,2,2,1,1,1,4,3,3,4,3,2,2,4,3,4,4,2,2,3,2,4
4,2,4,2,1,1,3,1,4,4,4,4,4,2,3,2,2,4,2,4,2,2,2,4
4,2,4,2,1,3,3,1,5,5,5,5,5,5,2,2,4,5,4,4,5,5,4,5
3,1,2,2,3,1,1,3,5,5,3,4,4,3,1,5,3,4,5,4,1,3,4,5
2,2,2,3,2,1,3,2,3,4,2,2,4,2,3,2,2,3,2,4,1,4,2,2
2,2,2,2,2,1,3,3,4,4,3,4,3,1,2,4,3,3,4,2,3,2,4,4
3,2,3,4,3,1,3,2,3,2,2,3,1,2,3,3,3,2,3,3,2,2,4,2
5,1,3,3,2,2,3,2,3,4,4,2,3,3,2,4,3,4,3,4,1,1,4,3
2,2,2,3,1,1,1,2,4,4,4,2,4,1,5,4,1,4,2,4,3,3,3,1
2,2,2,2,1,1,3,3,4,4,5,4,4,3,2,4,3,5,4,5,4,5,5,4
4,2,3,2,3,1,5,3,3,4,3,3,4,3,2,3,3,3,3,3,2,3,3,4
3,2,3,3,1,1,1,1,5,5,5,5,5,5,2,5,3,5,5,4,3,3,4,5
3,2,2,3,1,1,3,3,3,3,3,2,2,2,2,4,2,3,4,2,2,4,3,2
1,1,4,3,2,1,1,2,4,5,3,4,4,5,1,5,5,5,5,5,2,2,5,5
5,1,4,4,1,1,3,1,4,4,4,4,4,4,3,4,2,5,3,3,3,3,4,5
3,2,3,2,2,1,3,3,3,3,3,3,2,3,3,4,3,4,2,2,2,4,3,4
4,2,3,3,1,1,1,1,4,4,4,3,4,4,4,3,4,4,3,4,4,3,3,4
4,1,3,3,2,1,1,2,2,2,3,5,3,2,5,2,3,2,1,3,1,3,3,4
3,2,4,3,3,1,1,2,1,1,1,2,1,3,2,1,5,3,4,4,4,4,5,4
1,2,2,3,3,2,1,2,3,3,3,5,3,3,3,3,5,4,3,4,4,4,3,3
5,2,4,4,2,2,1,3,3,3,3,3,3,3,2,4,5,4,4,3,3,3,4,3
1,2,2,2,2,1,1,1,4,4,4,3,3,3,4,3,4,3,4,3,3,4,3,4
5,1,5,4,2,3,1,3,3,3,3,3,3,3,3,4,5,5,4,2,2,2,5,3
5,2,2,3,3,3,1,3,5,5,1,3,1,3,4,3,5,3,3,3,3,4,4,3
5,2,3,3,2,1,1,3,3,2,2,3,3,3,4,3,4,3,4,3,3,5,3,4
5,1,5,3,1,3,3,2,3,3,5,3,4,5,4,4,5,5,5,3,3,3,4,5
5,1,4,4,2,1,1,2,2,2,2,3,3,3,3,2,4,3,4,2,1,3,3,2
1,1,4,2,3,1,1,3,5,3,3,3,2,2,3,3,4,4,4,4,4,4,4,4
5,2,3,1,2,1,1,3,1,1,1,2,3,2,2,3,3,4,4,4,3,3,3,4
1,2,1,3,1,1,3,1,5,4,4,4,4,4,2,5,5,4,4,2,2,4,5,4
1,1,1,3,3,1,3,3,5,3,3,3,3,1,3,4,4,4,3,5,4,3,4,4
4,2,3,2,3,1,4,3,3,3,4,3,4,2,4,2,3,3,3,4,3,4,3,3
3,1,3,2,1,1,1,3,3,3,2,2,2,2,4,2,4,3,2,2,2,3,4,4
5,2,4,4,1,3,1,1,3,4,4,3,4,2,4,3,3,3,5,2,2,3,4,1
5,2,5,4,2,1,3,2,3,3,3,3,3,2,2,2,4,3,2,2,2,3,3,1
4,1,3,2,2,1,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2
1,1,3,1,1,1,1,2,3,2,2,1,4,1,5,1,4,2,2,4,4,1,4,4
3,1,2,1,3,3,2,3,3,1,5,5,5,4,3,4,4,5,4,5,3,1,5,3
5,2,4,4,1,1,3,1,5,4,4,5,5,5,1,1,5,5,5,5,5,5,5,5
5,2,2,3,3,3,1,1,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
2,1,2,2,3,3,1,3,3,3,3,2,3,3,3,3,4,3,2,3,3,3,3,3
3,2,2,2,1,1,3,1,5,5,5,4,4,5,1,5,5,5,5,5,5,5,5,5
5,2,2,3,2,1,1,2,3,4,2,2,2,2,4,1,3,1,2,3,2,2,2,2
5,2,5,5,1,1,3,1,3,3,3,4,4,4,3,3,5,5,4,2,2,2,4,2
5,1,3,3,3,2,3,3,3,3,3,2,4,2,2,4,4,3,3,1,2,2,5,1
3,1,4,3,3,1,1,3,5,4,3,4,1,2,5,5,5,2,2,2,2,3,3,1
4,1,2,3,3,1,1,3,3,3,3,2,3,1,2,4,4,3,1,1,2,3,4,4
5,1,5,4,3,1,3,1,3,3,3,3,4,1,1,5,5,5,3,5,4,3,3,3
5,2,5,3,2,1,3,3,3,3,3,2,2,2,1,4,3,1,3,5,3,1,4,3
5,1,5,3,1,3,1,2,3,2,3,3,3,1,5,2,1,3,3,1,3,2,1,3
1,2,1,1,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
5,2,5,4,1,1,3,1,4,4,4,4,4,5,1,1,5,5,5,5,5,5,5,5
4,1,3,3,1,1,4,1,4,4,3,4,4,4,3,4,3,3,3,4,2,2,4,2
